IP,Protocols
178.175.141.209,IKE
193.42.99.37,IKE
193.36.237.112,IKE
85.202.81.141,IKE
185.161.202.104,IKE
195.158.249.170,IKE
158.220.78.21,IKE
178.132.109.76,IKE
2.58.46.19,IKE
185.216.73.100,IKE
185.216.35.251,IKE
185.206.225.243,IKE
193.29.61.28,IKE
45.94.208.79,IKE
82.149.78.3,IKE
176.53.176.1,IKE
2.58.74.49,IKE
185.153.176.145,IKE
95.214.114.3,IKE
45.86.210.34,IKE
185.239.149.1,IKE
45.95.160.45,IKE
212.32.88.21,IKE
84.39.151.240,IKE
95.214.114.1,IKE
217.138.222.179,IKE
45.137.76.1,IKE
212.97.66.1,IKE
45.134.189.3,IKE
185.202.221.112,IKE
37.120.212.3,IKE
37.19.217.33,IKE
194.116.208.32,IKE
185.180.12.242,IKE
45.80.185.1,IKE
185.245.255.52,IKE
212.32.86.21,IKE
82.149.79.1,IKE
138.199.56.44,IKE
